club,date,country,League,Tier
R. B. Linense,1984-06-30,Brazil,Série A,Tier 1
Recr. Huelva,1971-06-30,Spain,Tercera División,Tier 3
UCAM Murcia,2022-06-30,Spain,Segunda División B,Tier 3
NK Rudes,2018-05-22,Croatia,HNL,Tier 2
La Roda CF,2016-06-30,Spain,Tercera División,Tier 4
Alicante,2008-12-22,Spain,La Liga,Tier 1
Albacete,1962-04-01,Spain,La Liga,Tier 1
CD Brea,2018-06-30,Spain,Tercera División,Tier 4
Murcia Imperial,2020-06-30,Spain,Segunda División B,Tier 2
CD Alcoyano,2019-02-27,Spain,Segunda División B,Tier 3
Atlético Baleares,2015-11-25,Spain,Tercera División,Tier 4
Salamanca AC,2013-08-27,Spain,Segunda División B,Tier 4
Lorca FC,2016-09-12,Spain,Segunda División B,Tier 3
Córdoba CF,2001-11-19,Spain,Segunda División B,Tier 2
Castellón,1999-06-30,Spain,Segunda División,Tier 2
Algeciras CF,2006-06-30,Spain,Segunda División B,Tier 3
Écija Balompié,1997-06-30,Spain,Segunda División B,Tier 3
Real Murcia,1976-02-02,Spain,La Liga Segunda División,Tier 2
Real Gijón,1956-06-30,Spain,Segunda División,Tier 2
Granada CF,2024-06-30,Spain,La Liga,Tier 1
Granada CF,2001-06-30,Spain,La Liga,Tier 1
Castellón,1998-02-09,Spain,Segunda División,Tier 2
Levante,1981-12-31,Spain,La Liga,Tier 1
Vojvodina,1977-06-30,Yugoslavia, Yugoslav First League,Tier 2
Levante,1951-06-30,Spain,La Liga,Tier 1
Qadsia SC,2021-06-30,Kuwait,Kuwaiti Premier League,Tier 1
CF Fuenlabrada,2012-06-30,Spain,Segunda División B,Tier 3
FC Dinamo,2017-09-18,Ukraine,Ukrainian Premier League,Tier 1
Alcorcón,2008-06-30,Spain,Segunda División,Tier 2
Atl. Madrid B,2003-06-30,Spain,La Liga,Tier 1
Cádiz CF,1998-06-30,Spain,La Liga,Tier 1
R. B. Linense,2006-06-30,Brazil,Paulista Série A1,Tier 2
Cádiz CF,2006-11-05,Spain,La Liga,Tier 1
Córdoba CF,1986-10-13,Spain,La Liga,Tier 1
San Lorenzo,2005-04-27,Argentina,Primera División,Tier 1
Bolivia,2000-01-30,Bolivia,Liga Profesional Boliviana,Tier 3
CF Gandía,2010-06-30,Spain,Segunda División B,Tier 2
CD Teruel,2004-05-10,Spain,Segunda División B,Tier 3
Reus Deportiu,2019-01-01,Spain,Segunda B,Tier 3
Gimnàstic,2018-05-13,Spain,Segunda División,Tier 2
CE Farners,2022-06-30,Spain,Segunda División B,Tier 3
Wisla Kraków,2017-12-10,Poland,Ekstraklasa,Tier 1
Gerona,1955-06-30,Spain,La Liga,Tier 1
UD Almería,2016-06-30,Spain,La Liga,Tier 1
UD Melilla,2004-06-30,Spain,Segunda División B,Tier 2
Alavés U19,2012-09-25,Spain,Tercera División,Tier 3
SD Compostela,1998-10-26,Spain,Segunda División A,Tier 2
Standard Liège,1997-10-20,Belgium,Jupiler Pro League,Tier 1
Ajax,1982-06-30,Netherlands,Eredivisie,Tier 1
Ajax,1981-06-30,Netherlands,Eredivisie,Tier 2
CA Temperley,2015-11-30,Uruguay,Primera División Uruguaya,Tier 2
Juve. Antoniana,2001-12-31,Italy,Serie C2,Tier 4
RC Portuense,2005-06-30,Portugal,Primeira Liga,Tier 1
Xerez CD,2003-11-10,Spain,Segunda División A,Tier 2
Salamanca CF,2021-06-30,Spain,Segunda División B,Tier 3
Puerta Bonita,2015-01-26,Spain,La Liga,Tier 1
Elche CF,2021-02-14,Spain,Segunda División,Tier 2
SD Portmany,2022-06-30,Spain,La Liga,Tier 1
Hércules CF,1998-11-02,Spain,La Liga,Tier 1
CD Torrevieja,1991-01-01,Spain,Segunda División B,Tier 3
Hércules CF,1971-06-30,Spain,Segunda División,Tier 2
Hércules CF,1958-02-17,Spain,La Liga,Tier 1
Linares,2017-11-06,Spain,Segunda División B,Tier 4
Castellón,1974-11-30,Spain,La Liga,Tier 1
Córdoba CF,1987-04-13,Spain,Segunda División,Tier 2
Granada CF,1947-04-07,Spain,La Liga,Tier 1
Elche CF,2017-04-29,Spain,La Liga,Tier 1
RM Castilla,2013-11-19,Spain,Segunda División B,Tier 2
UAG Tecos,2003-03-18,Mexico,Liga MX,Tier 2
UD Sanse,2014-06-30,Spain,Segunda División B,Tier 2
Espeleño,2017-06-30,Spain,Segunda División B,Tier 2
Lorca FC,2017-12-17,Spain,Segunda División B,Tier 3
UCAM Murcia,2023-03-29,Spain,Tercera División,Tier 4
Barcelona,2018-06-30,Spain,La Liga,Tier 1
Taj,1976-06-30,Pakistan,Pakistan Premier League,Tier 2
Sestao,1991-06-30,Spain,Segunda División,Tier 2
Atlético Madrid,2017-12-31,Spain,La Liga,Tier 1
CE L'Hospitalet,2013-07-03,Spain,Segunda División B,Tier 2
Mazarrón FC,2006-06-30,Spain,Tercera División,Tier 4
RSD Alcalá,2002-06-30,Spain,Segunda División B,Tier 3
UB Conquense,2001-02-03,Spain,Segunda B,Tier 2
Girona,2019-10-28,Spain,La Liga,Tier 1
Man City,2018-06-10,England,Premier League,Tier 1
Calahorro,2009-06-30,Spain,Segunda B,Tier 3
Girona,1999-11-15,Spain,La Liga,Tier 1
Girona,1995-06-30,Spain,La Liga,Tier 1
UE Figueres,1997-02-17,Spain,Segunda División,Tier 2
CE Banyoles,1987-12-31,Spain,Tercera Divisió,Tier 3
UE Figueres,1977-06-30,Spain,La Liga,Tier 1
Gerona,1978-12-18,Spain,La Liga,Tier 1
CD Europa,1975-06-30,Spain,La Liga,Tier 2
Orihuela Dep.,1973-06-30,Spain,Segunda División,Tier 2
Gerona,1958-11-03,Spain,La Liga,Tier 1
CD Manacor,1953-12-21,Spain,Tercera División,Tier 4
SD Huesca,2021-10-25,Spain,Segunda División,Tier 2
Nicaragua,2014-11-07,Nicaragua,CONCACAF World Cup Qualifying,Tier 3
Salamanca CF,2022-12-18,Spain,Segunda División B,Tier 4
Salamanca B,2013-03-12,Spain,Tercera División,Tier 4
Unionistas CF,2019-11-14,Spain,Segunda División B,Tier 3
Dorchester,2010-03-08,England,Conference South,Tier 3
UD Salamanca,1998-11-22,Spain,Segunda División B,Tier 3
Farense,1999-12-06,Portugal,Primeira Liga,Tier 1
Recre Granada,2021-02-15,Spain,Segunda División B,Tier 2
Loja CD,2013-06-04,Portugal,Primeira Liga,Tier 1
UP Plasencia,2018-06-30,Spain,Segunda División B,Tier 2
Jerez CF,2014-06-30,Spain,Segunda División B,Tier 3
Puebla FC,2002-03-31,Mexico,Liga MX,Tier 1
Badajoz,2002-09-23,Spain,Segunda División B,Tier 3
Bilbao Youth,2023-06-30,Spain,La Liga,Tier 1
Portimonense,1977-10-17,Portugal,Primeira Liga,Tier 1
CD Logroñés,1956-06-30,Spain,Segunda División,Tier 2
Soledad,2008-06-30,Spain,Segunda División B,Tier 2
CD Toledo,2012-06-21,Spain,Segunda División B,Tier 3
Moralo CP,2007-11-07,Spain,Segunda B,Tier 3
Burgos CF,2018-02-19,Spain,Segunda División B,Tier 4
AD Alcorcón B,2016-10-04,Spain,Segunda División,Tier 2
Pontevedra,2024-06-30,Spain,Segunda División B,Tier 3
FC Van,2023-03-15,Netherlands,Eredivisie,Tier 1
Don Bosco,2005-06-30,Brazil,Sío Paulo State League,Tier 3
B. Banja Luka,2010-08-02,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Tier 2
SD O Val,2009-06-30,Spain,Segunda División B,Tier 3
Racing Ferrol,2006-04-17,Spain,Segunda División B,Tier 3
CD Ronda,2006-06-30,Spain,Segunda División B,Tier 2
CP El Ejido,2018-12-30,Spain,Segunda División B,Tier 3
Loja CD,2015-06-30,Portugal,Segunda Liga,Tier 2
Maspalomas,1990-03-19,Spain,Segunda División B,Tier 2
UD Marbella,2004-06-30,Spain,Segunda División B,Tier 2
Racing Lermeño,2011-06-30,Spain,La Liga,Tier 1
Badalona,2019-01-20,Spain,Segunda División B,Tier 2
CE Europa,1996-06-30,Spain,La Liga,Tier 2
FC Santboià,1995-07-01,Spain,Segunda División B,Tier 4
CD Mirandés,2017-01-16,Spain,Segunda División B,Tier 3
Mérida,2008-06-30,Spain,Segunda División,Tier 2
Burgos CF,1980-03-31,Spain,Segunda División,Tier 2
Shanghai Shenhua,2020-12-30,China,Chinese Super League,Tier 2
Linares,2018-06-30,Spain,Segunda División B,Tier 2
San Roque Lepe,2022-06-30,Spain,Tercera División,Tier 4
Ourense,2006-01-17,Spain,Segunda División B,Tier 4
Ourense,2008-05-01,Spain,Segunda B,Tier 3
Spain U21,2004-06-30,Spain,Toulon Tournament,Tier 3
Real Madrid,1981-06-30,Spain,La Liga,Tier 1
Castilla CF,1979-09-17,Spain,Segunda División B,Tier 2
TSG Hoffenheim,2020-06-09,Germany,Bundesliga,Tier 1
At. Saguntino,20/6/2024,Spain,Segunda División B,Tier 3
Almazora,2014-06-30,Spain,La Liga,Tier 1
Benidorm,2000-09-25,Spain,Segunda División B,Tier 4
Ponferradina,2023-06-30,Spain,Segunda División,Tier 2
Aston Villa,2020-06-29,England,Premier League,Tier 1
Ponferradina,2016-06-30,Spain,Segunda División B,Tier 2
Pegaso,1979-01-22,Argentina,Argentine Primera División,Tier 1
Ciempozuelos,2006-06-30,Spain,Segunda División B,Tier 3
Patriotas,2014-02-01,Colombia,Liga Postobón,Tier 2
Guaraní,1988-12-31,Paraguay,Clausura Paraguaya,Tier 1
SD Nogueira,2015-05-26,Portugal,Primeira Liga,Tier 1
SD Leioa,2015-06-30,Spain,Tercera División,Tier 4
Barcelona B,2021-11-07,Spain,Segunda División,Tier 2
Bröndby IF,2015-12-31,Denmark,Superligaen,Tier 1
UE Figueres,1974-06-30,Spain,Segunda División B,Tier 2
South United FC,2019-02-28,United States,USL League Two,Tier 4
CE Sabadell,1991-06-30,Spain,Segunda División,Tier 2
Lucena,2015-12-23,Spain,Segunda B,Tier 3
Benidorm,2011-06-16,Spain,Tercera División,Tier 3
UB Conquense,2011-06-26,Spain,Segunda División B,Tier 2
Mensajero,2005-06-30,Mexico,Liga MX,Tier 2
Atl. Venezuela,2018-03-28,Venezuela,Venezuelan Primera División,Tier 4
Bilbao Youth,1998-06-30,Spain,La Liga,Tier 1
Elche CF,2017-06-30,Spain,La Liga Segunda División,Tier 2
CD La Unión,2008-01-01,Spain,Segunda División B,Tier 2
Totana,2012-10-16,Spain,La Liga,Tier 1
Torre Levante,1989-06-30,Spain,Segunda División B,Tier 2
Lorca FC,2022-02-06,Spain,La Liga,Tier 1
CD Bala Azul,2024-06-30,Mexico,Liga MX,Tier 1
Lorca FC,2018-10-29,Spain,La Liga,Tier 1
Extremadura,2020-12-26,Spain,Segunda División B,Tier 2
CD Badajoz B,2018-06-30,Spain,Segunda División B,Tier 3
Extremadura,2019-02-26,Spain,Segunda División A,Tier 2
Extremadura,2018-05-01,Spain,La Liga,Tier 1
Alcobendas,2017-06-30,Spain,Tercera División,Tier 3
Real Madrid,2019-06-30,Spain,La Liga,Tier 1
Real Sociedad,2006-10-27,Spain,La Liga,Tier 1
UD Ibiza,2018-07-05,Spain,Segunda División,Tier 2
Sp. Mahonés,2011-11-15,Spain,Segunda División B,Tier 3
IC d'Escaldes,2019-06-30,Andorra,Segunda Divisió,Tier 4
Andorra U21,2012-06-30,Andorra,UEFA European Under-21 Championship,Tier 3
CE Principat,2009-06-30,Andorra,Segona Divisió,Tier 4
Univ. Alicante,2018-06-30,Spain,Tercera División,Tier 4
Flaminia,2017-11-15,Italy,Serie C,Tier 3
MSV Duisburg,2021-01-27,Germany,2. Bundesliga,Tier 2
Arminia Bielefeld,2022-04-20,Germany,2. Bundesliga,Tier 2
FC Schalke 04,2006-01-04,Germany,Bundesliga,Tier 1
MSV Duisburg,2010-06-30,Germany,2. Bundesliga,Tier 2
Dynamo Dresden,2007-09-24,Germany,2. Bundesliga,Tier 3
M'gladbach II,1997-11-30,Germany,Regionalliga West,Tier 2
MSV Duisburg,2019-06-30,Germany,2. Bundesliga,Tier 3
VfL Bochum II,2001-06-30,Germany,Regionalliga West,Tier 3
Yokohama FC,2005-01-31,Japan,J.League Division 1,Tier 2
FC Schalke 04,2019-01-02,Germany,Bundesliga,Tier 1
Hertha BSC,1994-03-23,Germany,Bundesliga,Tier 1
TPS,1998-07-24,Finland,Veikkausliiga,Tier 1
Bonner SC,1977-06-30,Germany,2. Bundesliga,Tier 3
VfL Osnabrück,1977-04-20,Germany,2. Bundesliga,Tier 2
Eintracht Hamm,1985-06-30,Germany,Verbandsliga Westfalen,Tier 4
VfB LÜbeck,1996-10-17,Germany,Regionalliga Nord,Tier 3
PAOK Salonika,1983-06-30,Greece,Alpha Ethniki,Tier 1
Karlsruher SC,1977-06-30,Germany,Bundesliga,Tier 1
Wuppertaler SV,1978-03-10,Germany,Regionalliga West,Tier 4
Werder Bremen,1976-02-28,Germany,Bundesliga,Tier 1
Westfalia Herne,1967-06-30,Germany,2. Bundesliga,Tier 2
STV Horst-Em.,1964-06-30,Germany,Oberliga,Tier 2
MSV Duisburg,1973-10-20,Germany,Bundesliga,Tier 1
Debreceni MVSC,1963-12-31,Hungary,Nemzeti Bajnokság I,Tier 1
Union Solingen,1977-03-07,Germany,Bundesliga,Tier 1
STV Horst-Emsen,1954-05-31,Germany,Oberliga Nord,Tier 2
TSG Ulm 1846,1952-06-30,Germany,Oberliga Südwest,Tier 3
SV Röchling,1972-06-30,Germany,Regionalliga West,Tier 3
Saarbrücken,1953-10-01,Germany,Oberliga Südwest,Tier 2
Hoffenheim U19,2016-02-10,Germany,Bundesliga U19,Tier 2
Bayern Munich,2011-06-30,Germany,Bundesliga,Tier 1
JOS,1986-06-30,Japan,J.League First Division,Tier 1
Bayern Munich,2009-04-27,Germany,Bundesliga,Tier 1
Bayern Munich,1998-06-30,Germany,Bundesliga,Tier 1
Hertha BSC,1991-03-12,Germany,Bundesliga,Tier 1
B. Leverkusen,1985-06-30,Germany,Bundesliga,Tier 1
Saudi Arabia,1980-12-01,Saudi Arabia,King's Cup,Tier 1
Borussia Dortmund,1969-03-17,Germany,Bundesliga,Tier 1
Fellows ZH,1963-06-30,Japan,J.League,Tier 1
ESV Ingolstadt,1969-06-30,Germany,Regionalliga Süd,Tier 4
1860 Munich,1968-06-30,Germany,Bundesliga,Tier 1
Straubing,1967-06-30,Germany,Bundesliga,Tier 1
Heracles,1949-02-15,Netherlands,Eerste Divisie,Tier 2
1. FC Nuremberg,1920-02-28,Germany,German Football Championship,Tier 2
PSV Eindhoven,20/06/30,Netherlands,Eredivisie,Tier 1
M. Tel Aviv,2016-05-25,Israel,Israeli Premier League,Tier 2
Heracles Almelo,2006-06-30,Netherlands,Eredivisie,Tier 1
VfB Stuttgart,2023-04-03,Germany,2. Bundesliga,Tier 2
VfL Wolfsburg,2019-06-30,Germany,Bundesliga,Tier 1
Darmstadt 98,2006-06-30,Germany,2. Bundesliga,Tier 2
B. Dortmund U19,1997-06-30,Germany,Bundesliga,Tier 1
Saarbrücken,2000-11-29,Germany,Regionalliga Südwest,Tier 3
RW Oberhausen,1980-11-30,Germany,2. Bundesliga,Tier 3
1.FC Viersen,1973-06-30,Germany,Regionalliga West,Tier 2
TuS Neuendorf,1964-06-30,Germany,Regionalliga West,Tier 3
VfL Benrath,1935-06-30,Germany,Oberliga Berlin,Tier 2
Hertha BSC,2019-11-27,Germany,2. Bundesliga,Tier 2
Hertha BSC,2009-10-03,Germany,Bundesliga,Tier 1
1. FC Nuremberg,2008-02-11,Germany,Bundesliga,Tier 2
Hertha BSC,2005-11-09,Germany,Bundesliga,Tier 1
Carl Zeiss Jena,1994-08-27,Germany,DDR-Oberliga,Tier 2
Hertha BSC,2007-04-09,Germany,Bundesliga,Tier 1
Saturn Ramenskoe,2009-05-15,Russia,Russian Premier League,Tier 1
Hertha BSC,1992-08-20,Germany,Bundesliga,Tier 1
VfB Stuttgart,1982-06-30,Germany,Bundesliga,Tier 1
Hertha BSC,1984-05-25,Germany,Bundesliga,Tier 1
Hertha BSC,1974-06-30,Germany,Bundesliga,Tier 1
Hertha BSC,1983-12-10,Germany,Bundesliga,Tier 1
FC 08 Homburg,1980-06-30,Germany,Oberliga Rheinland-Pfalz-Saar,Tier 3
Hertha BSC,1977-06-30,Germany,Bundesliga,Tier 1
Germany,1978-06-21,Germany,Bundesliga,Tier 1
Saarbrücken,1954-06-30,Germany,Oberliga Südwest,Tier 2
VfB Stuttgart,2005-06-02,Germany,2. Bundesliga,Tier 3
FC Ingolstadt,2009-11-09,Germany,2. Bundesliga,Tier 3
BSC Young Boys,1980-06-30,Switzerland,Swiss Super League,Tier 1
F. Düsseldorf,1979-10-09,Germany,Bundesliga,Tier 1
Bor. Dortmund,1979-06-30,Germany,Bundesliga,Tier 1
Galatasaray,2008-04-08,Turkey,Süper Lig,Tier 1
Borussia Dortmund,1981-06-30,Germany,Bundesliga,Tier 1
SV Holzwickede,1984-03-06,Germany,Oberliga Westfalen,Tier 3
RW Essen,1984-02-26,Germany,2. Bundesliga,Tier 3
Bor. Dortmund,1974-02-14,Germany,Bundesliga,Tier 1
Malta,1966-12-31,Malta,Maltese Premier League,Tier 2
1. FC Paderborn,1981-06-30,Germany,Bundesliga,Tier 2
Alemannia Aachen,1976-01-20,Germany,2. Bundesliga,Tier 2
Fortuna Köln,1953-06-30,Germany,Oberliga West,Tier 2
1. FC K'lautern,2024-06-30,Germany,2. Bundesliga,Tier 2
Viktoria Köln,2017-12-11,Germany,2. Bundesliga,Tier 2
Burgsteinfurt,2012-01-08,Germany,Regionalliga West,Tier 4
Luxembourg,2011-03-07,Luxembourg,,
Luxembourg,2011-03-07,Luxembourg,,
Sturm Graz II,2006-06-30,Austria,Bundesliga,Tier 1
CSKA 1948,2021-03-23,Bulgaria,Bulgarian First League,Tier 2
Rot-Weiß Erfurt,2013-05-31,Germany,Regionalliga Nordost,Tier 4
1. FC K'lautern,2007-04-11,Germany,2. Bundesliga,Tier 2
Hansa Rostock,2012-09-03,Germany,3. Liga,Tier 4
VfL Wolfsburg,2003-03-04,Germany,Bundesliga,Tier 1
Wien Wehen Wiesbaden,2010-02-08,Germany,3. Liga,Tier 3
RB Salzburg,2006-05-12,Austria,Bundesliga,Tier 1
FC Zürich,1994-04-06,Switzerland,Swiss Super League,Tier 1
Grasshoppers,1988-06-30,Switzerland,Nationalliga A,Tier 2
PSV Eindhoven,2002-05-31,Netherlands,Eredivisie,Tier 1
RC Liège,1994-06-30,Belgium,First Division (Belgium),Tier 1
W. Burghausen,2006-06-14,Germany,Regionalliga Süd,Tier 3
1. FC K'lautern,2000-09-30,Germany,2. Bundesliga,Tier 2
FC St. Pauli,1997-11-27,Germany,2. Bundesliga,Tier 3
Al-Ahli,1988-04-30,Egypt,Egyptian Premier League,Tier 1
Eintracht Frankfurt,2001-07-03,Germany,Bundesliga,Tier 2
Ittihad Alexandria,2003-12-31,Egypt,Egyptian Premier League,Tier 1
FC Stukenbrock,2008-06-30,Germany,Oberliga Westfalen,Tier 4
DJK Gütersloh,1979-06-30,Germany,Westfalenliga,Tier 2
SSV Reutlingen,1986-01-05,Germany,Oberliga Baden-Württemberg,Tier 3
VfL Wolfsburg,2012-12-31,Germany,Bundesliga,Tier 1
Schwaben Augsb.,1989-06-30,Germany,Bundesliga,Tier 1
FC Augsburg,2009-04-13,Germany,2. Bundesliga,Tier 3
RW Essen,2003-09-20,Germany,Regionalliga West,Tier 4
E. Braunschweig,2007-03-20,Germany,Regionalliga Nord,Tier 3
Germany U20,2002-06-30,Germany,UEFA European Under-20 Championship,Tier 3
Samsunspor,1997-09-09,Turkey,Turkish First Football League,Tier 1
TeBe Berlin,1972-06-30,Germany,DDR-Oberliga,Tier 1
SSV Ulm 1864,1971-06-30,Germany,Regionalliga Südwest,Tier 3
Bonner SC,1969-06-30,Germany,Bundesliga,Tier 1
A. Klagenfurt,2012-08-29,Austria,Erste Liga,Tier 3
1860 Munich,2023-01-31,Germany,2. Bundesliga,Tier 2
BLA U18,2008-06-30,Belgium,Juniors Competitions,Tier 4
BLA U17,2007-06-30,Belgium,Belgian Pro League,Tier 1
BLA U19,2005-06-30,Belgium,Pro League,Tier 2
Germany U15,2004-06-30,Germany,DFB-Junioren Bundesliga,Tier 2
FC Bayern Hof,2000-08-28,Germany,Regionalliga Süd,Tier 4
1860 Munich,2021-12-05,Germany,2. Bundesliga,Tier 3
Veles Moscow,2022-04-23,Russia,Russian Football National League,Tier 2
Leningradets,2021-04-29,Russia,Russian Football National League,Tier 3
Schalke 04 II,2022-03-28,Germany,Regionalliga West,Tier 4
VfB Oldenburg,2011-04-18,Germany,Regionalliga Nord,Tier 4
Fortuna Köln,2024-06-30,Germany,2. Bundesliga,Tier 2
Bonner SC,2022-05-03,Germany,Regionalliga West,Tier 4
18/60 München II,2004-06-30,Germany,Bundesliga,Tier 1
Ajax U21,2023-05-01,Netherlands,Eredivisie Under 21,Tier 1
FC Eindhoven,2008-03-31,Netherlands,Eredivisie,Tier 1
Munich,2004-05-23,Germany,Bundesliga,Tier 1
Saipa FC,2006-10-04,Iran,Azadegan League,Tier 2
AEK Athens,1984-12-10,Greece,Alpha Ethniki,Tier 1
Austria Vienna,1984-06-30,Austria,Bundesliga,Tier 1
Sparta,1972-04-03,Greece,Beta Ethniki,Tier 3
Werder Bremen,1969-06-30,Germany,Bundesliga,Tier 1
TSV 1860 Munich,1968-10-31,Germany,Bundesliga,Tier 1
Munich,1953-06-30,Germany,Bundesliga,Tier 1
FC Basel,19/23-06-30,Switzerland,Swiss Super League,Tier 2
AIK,1911-12-31,Sweden,Allsvenskan,Tier 1
Norrköping,1910-12-31,Sweden,Allsvenskan,Tier 1
FC Schalke 04,20/6/2024,Germany,Bundesliga,Tier 1
VfL Bochum Yth.,2011-03-30,Germany,3. Liga,Tier 2
Hamburger SV,2018-06-21,Germany,2. Bundesliga,Tier 2
Germany U16,2020-06-30,Germany,DFB-Junioren Bundesliga,Tier 2
VfL Bochum,2015-01-05,Germany,2. Bundesliga,Tier 2
ASV Aichwald,2008-06-30,Germany,Oberliga Baden-Württemberg,Tier 4
FC Schalke 04,2017-06-30,Germany,Bundesliga,Tier 1
Hannover 96,2019-01-27,Germany,2. Bundesliga,Tier 2
Maccabi Haifa,2018-11-01,Israel,Israeli Premier League,Tier 1
PSV Eindhoven,2006-06-30,Netherlands,Eredivisie,Tier 1
FC Schalke 04,2000-06-30,Germany,Bundesliga,Tier 1
SC Borgfeld,2010-06-30,Germany,Regionalliga Nord,Tier 3
E. Frankfurt II,1988-06-30,Germany,2. Bundesliga,Tier 2
FC Basel,1997-10-06,Switzerland,Swiss Super League,Tier 1
RW Oberhausen,2003-04-20,Germany,2. Bundesliga,Tier 2
VfB Leipzig,1997-10-06,Germany,2. Bundesliga,Tier 3
Iceland,1989-09-06,Iceland,European Championship Qualifying,Tier 2
Westfalia Herne,1978-03-01,Germany,Bundesliga,Tier 1
FC Schalke 04,1969-06-30,Germany,Bundesliga,Tier 1
Ghana,1968-10-31,Ghana,CAF Champions Cup,Tier 1
Viktoria Köln,1969-06-30,Germany,Bundesliga,Tier 1
Nuremberg II,2012-09-10,Germany,Regionalliga Bayern,Tier 4
Viktoria Köln,2018-06-30,Germany,2. Bundesliga,Tier 2
FC Baku,2011-01-17,Azerbaijan,Azerbaijan Premier League,Tier 3
Austria Vienna,2001-03-13,Austria,Bundesliga,Tier 1
1. FC Köln,1955-06-30,Germany,Bundesliga,Tier 2
FC Zürich,1962-06-30,Switzerland,Nationalliga A,Tier 1
VfB Stuttgart,1947-06-30,Germany,Oberliga Südwest,Tier 1
SSV Ulm 1846,2007-09-04,Germany,3. Liga,Tier 4
SC Norderstedt,1991-06-30,Germany,Regionalliga Nord,Tier 3
SC Freiburg,1981-06-30,Germany,Bundesliga,Tier 2
W. Bremen Yth.,1995-06-30,Germany,Bundesliga,Tier 1
Al-Arabi SC,2005-06-30,Qatar,Qatari League,Tier 3
Arminia Bielefeld,1994-08-25,Germany,Bundesliga,Tier 1
TeBe Berlin,1994-05-06,Germany,2. Bundesliga,Tier 3
Silkeborg IF,1999-06-30,Denmark,DBU's Landspokalturnering,Tier 2
Borussia Fulda,1972-06-30,Germany,Regionalliga Südwest,Tier 3
Werder Bremen,1950-06-30,Germany,German Oberliga,Tier 2
Hamburger SV,1945-06-30,Germany,Oberliga Hamburg,Tier 2
Holstein Kiel,1974-02-17,Germany,2. Bundesliga,Tier 3
E. Braunschweig,2002-10-20,Germany,Regionalliga Nord,Tier 3
SF Lotte,2017-10-31,Germany,Regionalliga West,Tier 3
Hansa Rostock,2010-03-15,Germany,2. Bundesliga,Tier 3
Germany B,2005-12-31,Germany,2. Bundesliga,Tier 2
Dynamo Dresden,1998-12-07,Germany,Oberliga,Tier 2
Hansa Rostock,1969-06-30,Germany,Oberliga,Tier 2
SC Fortschritt,1960-12-31,East Germany,DDR-Oberliga,Tier 1
SC Chemie Halle,1955-06-30,Germany,Oberliga,Tier 2
Aachen U19,2004-06-30,Germany,Regionalliga West,Tier 2
Lokomotiv Moscow,2022-02-28,Russia,Russian Premier League,Tier 1
SSV Ulm 1846,2009-06-30,Germany,Regionalliga Süd,Tier 4
FC Basel,2006-06-30,Switzerland,Swiss Super League,Tier 1
Hamburg U17,2023-06-30,Germany,B-Junioren Bundesliga,Tier 2
TSV Sasel II,2018-09-10,Germany,Regionalliga Bayern,Tier 4
Hamburg U19,2008-12-31,Germany,Bundesliga U19,Tier 2
Schweinfurt 05,1972-06-30,Germany,Regionalliga Süd,Tier 4
VfB Oldenburg,1971-06-30,Germany,Regionalliga Südwest,Tier 3
Altona 93,1967-06-30,Germany,Oberliga Hamburg,Tier 2
Hamburger SV,1942-04-30,Germany,Oberliga Hamburg,Tier 1
Benfica,2016-06-30,Portugal,Primeira Liga,Tier 1
RB Juniors,2008-05-30,Germany,Bundesliga,Tier 1
Hannover 96,2018-09-30,Germany,2. Bundesliga,Tier 3
Hannover 96,1998-12-21,Germany,2. Bundesliga,Tier 2
E. Frankfurt,2000-06-30,Germany,Bundesliga,Tier 1
E. Frankfurt,1998-12-08,Germany,Bundesliga,Tier 1
FSV Frankfurt,1983-06-30,Germany,Oberliga,Tier 2
Aschaffenburg,1990-06-30,Germany,Bavarian Football Association (BFV),Tier 4
St. Kickers II,1987-06-30,Germany,Regionalliga Süd,Tier 2
Eintracht Frankfurt,1933-08-31,Germany,German Football Championship,Tier 1
FSV Frankfurt,1958-09-22,Germany,Oberliga Hessen,Tier 2
Grasshoppers,1955-06-30,Hungary,Nemzeti Bajnokság I,Tier 1
Dynamo Dresden,2018-08-22,Germany,2. Bundesliga,Tier 2
Sonnenhof-Gr.,2016-06-30,Germany,Regionalliga Südwest,Tier 4
Unterhaching,2015-03-25,Germany,Regionalliga Süd,Tier 4
E. Braunschweig,2021-05-31,Germany,Regionalliga Nord,Tier 4
Göttingen 05,2002-03-05,Germany,Oberliga,Tier 4
Bielefeld U19,2007-02-15,Germany,Regionalliga West,Tier 4
SV Holzwickede,2011-06-30,Germany,Oberliga Westfalen,Tier 3
LR Ahlen,2005-03-01,Germany,3. Liga,Tier 4
VfL Osnabrück,1962-06-30,Germany,Regionalliga West,Tier 3
FC Memmingen,2024-06-30,Germany,Regionalliga Südwest,Tier 4
SSV Ulm 1846,2002-12-09,Germany,Regionalliga Südwest,Tier 4
FC Bayern II,2011-06-30,Germany,2. Bundesliga,Tier 2
Karlsruher SC,1999-10-15,Germany,2. Bundesliga,Tier 2
Karlsruher SC,1994-06-30,Germany,Bundesliga,Tier 1
Berliner AK,2016-08-31,Germany,Regionalliga Berlin,Tier 3
1. FC Köln,2019-06-30,Germany,Bundesliga,Tier 1
Hungary,2018-06-19,Hungary,UEFA Nations League,Tier 1
